user_id,video_id,watch_time_seconds,event_timestamp
1,10,476,2024-03-19
1,3,567,2024-03-11
1,9,131,2024-02-25
1,3,21,2024-02-29
1,7,18,2024-02-24
1,9,316,2024-03-05
1,2,346,2024-03-12
1,2,340,2024-03-19
1,7,172,2024-03-20
1,8,35,2024-03-05
1,1,562,2024-02-28
1,4,2,2024-03-21
1,6,566,2024-03-01
1,8,462,2024-05-13
1,9,296,2024-05-11
1,2,53,2024-05-14
1,10,217,2024-05-18
1,9,157,2024-05-05
1,1,521,2024-05-14
1,1,472,2024-05-01
1,3,593,2024-04-28
1,3,419,2024-04-21
1,5,490,2024-04-27
1,10,41,2024-05-18
1,7,72,2024-05-02
1,2,33,2024-05-06
1,8,547,2024-05-21
1,3,462,2024-05-23
1,1,5,2024-06-15
1,7,142,2024-05-27
1,9,207,2024-06-04
1,10,554,2024-06-17
1,3,575,2024-05-27
1,1,564,2024-06-18
1,4,485,2024-06-12
1,7,143,2024-05-31
1,4,525,2024-05-27
1,3,86,2024-06-17
1,2,557,2024-06-19
1,9,28,2024-06-01
1,4,331,2024-06-15
1,9,231,2024-07-20
1,1,385,2024-07-15
1,9,259,2024-06-27
1,6,456,2024-07-17
1,9,318,2024-06-25
1,1,234,2024-07-02
1,8,374,2024-07-14
1,9,113,2024-07-20
1,1,442,2024-07-10
1,7,130,2024-06-23
1,1,81,2024-07-17
1,1,2,2024-06-22
1,6,225,2024-06-21
1,3,130,2024-07-11
1,10,416,2024-07-13
2,6,511,2024-05-17
2,1,201,2024-05-29
2,6,464,2024-05-30
2,3,403,2024-05-27
2,3,511,2024-05-20
2,4,489,2024-05-02
2,8,551,2024-05-19
2,8,473,2024-05-19
2,7,159,2024-05-31
2,10,263,2024-05-29
2,10,572,2024-05-18
2,2,304,2024-05-31
2,5,37,2024-05-28
2,7,9,2024-05-10
2,3,208,2024-05-04
2,4,152,2024-05-23
2,8,587,2024-05-18
2,8,420,2024-05-07
2,8,254,2024-05-04
2,9,99,2024-05-26
2,2,163,2024-06-17
2,8,392,2024-07-08
2,3,401,2024-07-02
2,3,470,2024-07-24
2,6,38,2024-07-07
2,6,283,2024-08-28
2,2,277,2024-08-31
2,1,284,2024-08-16
2,3,516,2024-09-04
2,1,512,2024-09-18
2,5,518,2024-09-04
2,9,37,2024-09-25
2,1,302,2024-09-22
2,1,116,2024-10-30
2,5,161,2024-10-04
3,8,288,2024-02-08
3,6,155,2024-02-03
3,2,104,2024-01-25
3,9,246,2024-02-09
3,7,170,2024-02-16
3,10,408,2024-02-06
3,10,36,2024-02-06
3,4,321,2024-02-01
3,3,471,2024-02-08
3,2,51,2024-02-18
3,10,575,2024-02-23
3,6,314,2024-02-19
3,6,305,2024-02-13
3,10,54,2024-02-04
3,5,264,2024-02-14
3,5,103,2024-01-28
3,6,350,2024-02-08
3,3,269,2024-02-11
3,10,120,2024-02-12
3,10,346,2024-01-29
3,10,117,2024-02-23
3,7,127,2024-02-02
3,5,58,2024-02-19
3,1,96,2024-02-23
3,9,488,2024-03-08
3,5,272,2024-03-24
3,7,69,2024-03-17
3,7,76,2024-03-21
3,3,86,2024-03-20
3,5,47,2024-03-12
3,4,453,2024-03-07
3,10,474,2024-03-11
3,5,551,2024-02-28
3,1,254,2024-03-25
3,5,23,2024-03-21
3,10,442,2024-03-25
3,8,325,2024-04-06
3,4,16,2024-04-17
3,7,2,2024-04-10
3,4,380,2024-04-25
3,1,427,2024-04-29
3,3,577,2024-04-25
3,8,43,2024-05-06
3,2,253,2024-05-13
3,2,35,2024-05-17
3,1,90,2024-05-02
3,10,418,2024-05-13
3,9,196,2024-05-20
3,5,493,2024-05-05
3,8,420,2024-05-19
3,5,394,2024-04-29
3,9,192,2024-04-27
3,1,99,2024-05-10
3,4,96,2024-05-18
3,7,190,2024-04-29
3,1,525,2024-05-17
3,9,273,2024-05-11
3,4,342,2024-05-07
3,4,506,2024-06-08
3,5,69,2024-05-27
3,9,469,2024-05-28
3,5,151,2024-06-09
3,9,39,2024-06-06
3,5,42,2024-06-19
3,7,142,2024-06-19
3,5,163,2024-06-16
3,2,588,2024-06-02
3,10,492,2024-06-10
3,6,519,2024-06-07
3,8,170,2024-06-02
3,2,194,2024-05-29
3,5,422,2024-06-12
3,8,496,2024-06-06
3,1,342,2024-06-13
3,1,511,2024-05-31
3,9,301,2024-05-28
3,4,70,2024-06-21
3,3,445,2024-06-05
3,6,167,2024-06-20
3,10,531,2024-05-31
3,3,173,2024-06-06
3,2,220,2024-06-23
3,10,476,2024-06-01
3,9,1,2024-05-27
3,9,191,2024-06-21
3,1,409,2024-06-17
3,1,117,2024-05-30
3,10,556,2024-06-06
3,5,80,2024-06-15
3,5,203,2024-06-21
3,5,227,2024-06-12
3,4,441,2024-06-11
3,9,305,2024-06-07
3,1,373,2024-06-15
3,6,259,2024-06-09
3,7,185,2024-06-04
3,10,358,2024-06-05
3,8,373,2024-06-01
3,10,348,2024-05-28
3,10,316,2024-06-11
3,5,41,2024-05-28
3,6,145,2024-07-03
3,1,461,2024-07-22
3,3,253,2024-06-30
3,2,256,2024-06-29
3,9,450,2024-07-04
3,8,242,2024-07-21
3,5,119,2024-07-18
3,1,374,2024-06-25
3,2,224,2024-07-09
3,1,282,2024-07-19
3,6,461,2024-06-25
3,2,105,2024-06-27
3,1,405,2024-07-10
3,7,6,2024-07-22
3,1,437,2024-07-17
3,5,565,2024-06-29
3,10,458,2024-07-13
3,1,85,2024-07-08
3,9,1,2024-07-13
3,4,446,2024-06-25
3,1,488,2024-06-26
3,8,551,2024-07-20
3,10,438,2024-07-16
3,3,306,2024-07-06
3,1,54,2024-07-06
3,5,401,2024-07-10
3,7,85,2024-07-08
3,2,75,2024-07-13
3,7,166,2024-07-22
3,2,306,2024-06-26
3,2,335,2024-07-21
3,3,447,2024-06-26
3,4,249,2024-06-30
3,1,335,2024-07-22
4,1,330,2024-05-01
4,4,69,2024-04-16
4,6,53,2024-04-16
4,3,111,2024-05-09
4,7,183,2024-04-30
4,6,520,2024-04-18
4,8,281,2024-04-17
4,3,93,2024-05-02
4,10,51,2024-05-03
4,5,5,2024-05-02
4,10,534,2024-05-05
4,5,233,2024-05-26
4,10,46,2024-05-16
4,1,78,2024-06-09
4,9,249,2024-05-29
4,9,214,2024-05-29
4,8,350,2024-05-25
4,1,26,2024-05-18
4,1,8,2024-05-31
4,3,253,2024-06-03
4,8,526,2024-06-09
4,7,78,2024-06-07
4,2,365,2024-06-09
4,8,7,2024-05-17
4,7,107,2024-05-29
4,2,506,2024-05-20
4,3,15,2024-06-08
4,7,28,2024-05-24
4,7,185,2024-05-31
4,7,86,2024-06-09
4,9,145,2024-05-27
4,4,25,2024-05-18
4,10,67,2024-05-23
4,2,369,2024-06-26
4,3,554,2024-06-23
4,5,518,2024-07-04
4,10,320,2024-06-16
4,8,315,2024-06-27
4,6,377,2024-06-15
4,5,277,2024-06-20
4,6,503,2024-06-30
4,4,350,2024-06-25
4,8,137,2024-07-07
4,3,243,2024-06-22
4,5,548,2024-07-08
4,6,322,2024-07-04
4,4,118,2024-07-31
4,8,574,2024-08-08
4,2,392,2024-08-09
4,3,173,2024-07-26
4,5,326,2024-08-09
4,6,225,2024-08-03
4,1,140,2024-07-29
4,1,90,2024-07-28
4,6,139,2024-07-18
4,3,10,2024-07-19
4,7,138,2024-07-26
4,2,13,2024-07-22
4,2,596,2024-07-15
4,5,329,2024-07-31
4,9,550,2024-08-06
4,3,95,2024-07-31
4,5,318,2024-08-11
4,2,334,2024-08-04
4,8,459,2024-07-23
4,2,588,2024-07-17
4,3,513,2024-07-22
4,6,572,2024-08-12
4,3,165,2024-08-19
4,3,379,2024-08-28
4,10,574,2024-08-18
4,9,42,2024-09-08
4,2,296,2024-08-22
4,7,104,2024-08-28
4,3,422,2024-08-15
4,7,63,2024-08-29
4,1,145,2024-08-15
4,2,104,2024-10-03
4,7,179,2024-09-20
4,6,579,2024-09-21
4,3,554,2024-10-04
4,1,478,2024-09-21
4,4,157,2024-09-20
4,9,97,2024-10-13
4,5,411,2024-10-07
4,1,254,2024-09-18
4,6,522,2024-09-19
4,10,118,2024-09-20
4,4,216,2024-10-04
4,8,15,2024-10-13
4,8,261,2024-10-13
4,4,130,2024-10-11
4,3,292,2024-10-10
5,8,23,2024-03-23
5,10,302,2024-03-19
5,10,141,2024-03-16
5,2,460,2024-03-20
5,4,324,2024-03-13
5,8,127,2024-03-18
5,1,378,2024-03-17
5,6,51,2024-04-06
5,8,297,2024-03-30
5,7,1,2024-03-22
5,5,405,2024-04-03
5,4,182,2024-03-31
5,9,1,2024-03-30
5,7,115,2024-03-16
5,5,431,2024-03-17
5,5,137,2024-03-18
5,4,313,2024-03-29
5,10,575,2024-03-28
5,9,75,2024-03-14
5,2,210,2024-04-04
5,2,347,2024-03-25
5,3,182,2024-04-01
5,9,180,2024-03-14
5,5,161,2024-03-25
5,6,156,2024-03-26
5,5,49,2024-03-15
5,1,84,2024-03-17
5,1,148,2024-03-30
5,6,476,2024-04-06
5,8,561,2024-03-15
5,1,141,2024-04-07
5,7,179,2024-04-04
5,8,318,2024-04-07
5,1,429,2024-04-06
5,8,19,2024-03-26
5,1,590,2024-03-27
5,2,194,2024-03-30
5,1,114,2024-04-07
5,6,264,2024-04-06
5,7,103,2024-03-11
5,10,162,2024-05-06
5,1,87,2024-05-01
5,2,391,2024-05-07
5,8,313,2024-05-01
5,3,443,2024-05-07
5,8,54,2024-05-03
5,5,579,2024-04-27
5,1,264,2024-04-10
5,3,96,2024-05-02
5,8,491,2024-04-24
5,4,500,2024-04-13
5,6,469,2024-04-22
5,7,176,2024-04-26
5,7,74,2024-04-15
5,1,151,2024-04-29
5,3,381,2024-04-27
5,4,285,2024-05-06
5,10,386,2024-05-11
5,7,119,2024-05-20
5,4,261,2024-05-13
5,6,256,2024-06-07
5,9,226,2024-05-29
5,3,500,2024-06-03
5,6,364,2024-06-01
5,1,158,2024-06-01
5,7,128,2024-05-25
5,2,115,2024-05-25
5,9,552,2024-05-10
5,9,359,2024-05-17
5,6,278,2024-05-19
5,10,442,2024-07-07
5,2,75,2024-06-14
5,2,128,2024-06-29
5,10,356,2024-06-17
5,6,34,2024-06-25
5,5,153,2024-06-14
5,10,588,2024-07-01
5,5,342,2024-06-29
5,9,287,2024-06-14
5,8,268,2024-06-21
5,9,455,2024-06-18
5,1,476,2024-07-08
5,10,558,2024-06-10
5,6,363,2024-06-09
5,3,292,2024-06-27
5,10,29,2024-06-29
5,8,11,2024-06-12
5,2,55,2024-07-23
5,8,406,2024-07-13
5,8,289,2024-08-03
5,4,148,2024-07-27
5,3,244,2024-07-19
5,1,507,2024-07-21
5,2,201,2024-08-03
5,2,501,2024-07-17
5,9,296,2024-07-25
5,1,217,2024-08-06
5,8,42,2024-08-02
5,7,35,2024-07-11
5,2,229,2024-07-20
5,3,478,2024-07-14
5,2,524,2024-07-27
5,5,44,2024-08-04
5,1,330,2024-09-02
5,7,47,2024-08-20
5,8,339,2024-08-16
5,5,81,2024-08-31
6,10,47,2024-02-03
6,7,145,2024-02-16
6,10,86,2024-02-19
6,7,14,2024-02-08
6,5,519,2024-02-02
6,3,498,2024-02-20
6,7,82,2024-02-23
6,4,402,2024-02-20
6,10,273,2024-02-07
6,8,188,2024-02-06
6,2,131,2024-01-29
6,8,183,2024-02-16
6,7,15,2024-02-17
6,1,516,2024-02-22
6,6,397,2024-02-11
6,1,16,2024-02-06
6,10,108,2024-02-23
6,2,311,2024-01-27
6,10,546,2024-02-23
6,7,13,2024-02-06
6,2,416,2024-01-27
6,7,46,2024-02-13
6,1,477,2024-02-23
6,5,272,2024-02-17
6,9,266,2024-02-23
6,9,359,2024-02-13
6,5,577,2024-02-23
6,1,3,2024-02-06
6,8,324,2024-02-11
6,5,432,2024-01-25
6,5,585,2024-02-08
6,1,344,2024-01-28
6,10,61,2024-01-29
6,6,440,2024-02-07
6,8,11,2024-02-23
6,2,153,2024-01-31
6,4,571,2024-02-01
6,4,575,2024-02-15
6,5,243,2024-02-06
6,10,107,2024-01-26
6,9,218,2024-02-02
6,1,506,2024-01-27
6,8,517,2024-01-29
6,6,47,2024-02-16
6,1,521,2024-01-27
6,4,573,2024-02-20
6,10,419,2024-02-11
6,2,62,2024-02-10
6,8,3,2024-01-27
6,6,120,2024-02-22
6,9,329,2024-01-28
6,5,267,2024-02-02
6,8,323,2024-02-20
6,9,195,2024-02-18
6,2,332,2024-02-03
6,9,463,2024-02-01
6,9,261,2024-02-04
6,2,124,2024-02-08
6,6,328,2024-02-20
6,5,176,2024-02-19
6,2,454,2024-01-29
6,5,593,2024-02-11
6,8,301,2024-02-23
6,3,323,2024-02-17
6,8,40,2024-02-20
6,1,262,2024-02-17
6,3,336,2024-02-01
6,1,571,2024-02-20
6,9,363,2024-02-06
6,9,170,2024-01-28
6,6,7,2024-02-29
6,10,31,2024-03-18
6,10,394,2024-03-06
6,5,551,2024-03-13
6,4,258,2024-03-09
6,7,13,2024-03-09
6,1,233,2024-03-12
6,8,223,2024-02-26
6,8,365,2024-02-27
6,6,467,2024-03-25
6,7,74,2024-03-04
6,2,412,2024-03-23
6,5,278,2024-02-28
6,4,484,2024-03-13
6,4,192,2024-03-12
6,6,401,2024-03-05
6,6,22,2024-03-21
6,8,210,2024-03-13
6,4,227,2024-03-15
6,7,29,2024-03-06
6,1,79,2024-03-14
6,10,538,2024-02-26
6,2,285,2024-02-28
6,1,99,2024-03-08
6,9,39,2024-03-10
6,7,29,2024-03-24
6,4,130,2024-03-10
6,4,22,2024-03-06
6,3,382,2024-03-07
6,8,21,2024-03-10
6,5,84,2024-03-01
6,3,453,2024-02-27
6,1,570,2024-03-23
6,6,527,2024-02-26
6,3,524,2024-03-13
6,8,60,2024-03-09
6,9,309,2024-03-03
6,2,199,2024-02-27
6,5,536,2024-03-23
6,10,558,2024-03-10
6,9,206,2024-03-02
6,1,236,2024-03-15
6,4,521,2024-03-01
6,9,501,2024-03-16
6,2,344,2024-03-03
6,1,72,2024-03-16
6,2,320,2024-03-13
6,6,544,2024-03-06
6,9,102,2024-03-04
6,8,214,2024-03-14
6,8,553,2024-03-12
6,9,46,2024-03-10
6,6,86,2024-03-23
6,4,242,2024-03-23
6,1,2,2024-02-25
6,1,589,2024-03-15
6,10,103,2024-02-26
6,6,90,2024-03-09
6,10,143,2024-02-26
6,10,428,2024-03-12
6,8,317,2024-02-27
6,6,9,2024-03-01
6,9,359,2024-03-04
6,2,264,2024-03-03
6,2,318,2024-03-15
6,7,84,2024-03-11
6,4,390,2024-03-21
6,6,410,2024-02-27
6,9,14,2024-03-06
6,2,12,2024-03-18
6,9,301,2024-03-14
6,10,147,2024-03-18
6,4,309,2024-03-18
6,3,594,2024-03-01
6,2,549,2024-03-19
6,9,59,2024-02-27
6,10,35,2024-03-24
6,6,207,2024-02-25
6,7,76,2024-03-12
6,5,159,2024-03-21
6,8,404,2024-02-29
6,4,364,2024-03-25
6,4,152,2024-03-13
6,1,420,2024-03-21
6,5,512,2024-02-28
6,2,335,2024-02-26
6,3,237,2024-04-11
6,8,21,2024-04-08
6,1,520,2024-03-28
6,7,42,2024-04-05
6,2,375,2024-03-29
6,5,553,2024-04-23
6,6,381,2024-04-08
6,8,231,2024-04-18
6,4,130,2024-03-31
6,6,145,2024-04-20
6,9,28,2024-03-26
6,3,229,2024-03-29
6,1,424,2024-04-05
6,8,301,2024-04-16
6,10,270,2024-04-09
6,10,361,2024-03-25
6,5,276,2024-04-01
6,1,313,2024-04-15
6,4,284,2024-04-18
6,5,204,2024-03-29
6,1,497,2024-04-17
6,8,156,2024-04-08
6,6,251,2024-04-22
6,4,334,2024-03-26
6,9,511,2024-03-29
6,4,282,2024-04-22
6,1,119,2024-03-27
6,6,485,2024-04-14
6,5,161,2024-04-10
6,3,206,2024-04-05
6,10,276,2024-04-14
6,2,216,2024-04-20
6,2,217,2024-04-11
6,9,39,2024-04-17
6,2,428,2024-03-30
6,4,151,2024-04-23
6,4,336,2024-04-11
6,10,375,2024-04-01
6,2,341,2024-03-25
6,7,8,2024-04-22
6,6,517,2024-04-08
6,6,175,2024-03-26
6,1,311,2024-04-16
6,10,427,2024-04-03
6,2,145,2024-04-19
6,8,588,2024-05-21
6,8,345,2024-05-08
6,4,1,2024-05-13
6,5,304,2024-04-29
6,9,220,2024-04-26
6,2,575,2024-05-03
6,1,89,2024-05-10
6,9,589,2024-05-03
6,4,381,2024-04-30
6,4,19,2024-04-30
6,2,594,2024-05-07
6,9,279,2024-05-13
6,1,344,2024-05-24
6,6,455,2024-05-19
6,5,65,2024-05-06
6,10,143,2024-05-15
6,3,473,2024-04-25
6,1,497,2024-04-27
6,6,267,2024-04-27
6,8,3,2024-05-15
6,10,328,2024-05-10
6,2,454,2024-05-22
6,5,221,2024-05-20
6,9,12,2024-04-29
6,2,304,2024-04-29
6,2,364,2024-07-21
6,5,407,2024-07-05
6,7,80,2024-07-09
6,5,124,2024-07-09
6,9,51,2024-07-09
6,4,141,2024-07-16
6,3,334,2024-07-23
6,4,373,2024-07-14
6,3,144,2024-07-04
6,4,2,2024-07-11
6,4,90,2024-07-19
6,7,95,2024-07-06
6,10,39,2024-07-07
6,7,56,2024-07-11
6,10,445,2024-07-04
6,8,36,2024-07-14
6,4,385,2024-07-06
