uf;cidade;populacao_estimada
RO;Alta Floresta D'Oeste;22516
RO;Ariquemes;111148
RO;Cabixi;5067
RO;Cacoal;86416
RO;Cerejeiras;16088
RO;Colorado do Oeste;15213
RO;Corumbiara;7052
RO;Costa Marques;19255
RO;Espigão D'Oeste;33009
RO;Guajará-Mirim;46930
RO;Jaru;51469
RO;Ji-Paraná;131026
RO;Machadinho D'Oeste;41724
RO;Nova Brasilândia D'Oeste;20504
RO;Ouro Preto do Oeste;35445
RO;Pimenta Bueno;37098
RO;Porto Velho;548952
RO;Presidente Médici;18165
RO;Rio Crespo;3843
RO;Rolim de Moura;55748
RO;Santa Luzia D'Oeste;5942
RO;Vilhena;104517
RO;São Miguel do Guaporé;23147
RO;Nova Mamoré;32184
RO;Alvorada D'Oeste;13807
RO;Alto Alegre dos Parecis;13268
RO;Alto Paraíso;22258
RO;Buritis;41043
RO;Novo Horizonte do Oeste;8125
RO;Cacaulândia;6307
RO;Campo Novo de Rondônia;14391
RO;Candeias do Jamari;28068
RO;Castanheiras;2923
RO;Chupinguaia;11755
RO;Cujubim;27131
RO;Governador Jorge Teixeira;7130
RO;Itapuã do Oeste;10819
RO;Ministro Andreazza;9461
RO;Mirante da Serra;10691
RO;Monte Negro;16158
RO;Nova União;6822
RO;Parecis;6319
RO;Pimenteiras do Oeste;2127
RO;Primavera de Rondônia;2697
RO;São Felipe D'Oeste;4962
RO;São Francisco do Guaporé;21088
RO;Seringueiras;11846
RO;Teixeirópolis;4160
RO;Theobroma;10348
RO;Urupá;11081
RO;Vale do Anari;11545
RO;Vale do Paraíso;6490
AC;Acrelândia;15721
AC;Assis Brasil;7649
AC;Brasiléia;27123
AC;Bujari;10572
AC;Capixaba;12280
AC;Cruzeiro do Sul;89760
AC;Epitaciolândia;18979
AC;Feijó;34986
AC;Jordão;8628
AC;Mâncio Lima;19643
AC;Manoel Urbano;9701
AC;Marechal Thaumaturgo;19727
AC;Plácido de Castro;20147
AC;Porto Walter;12497
AC;Rio Branco;419452
AC;Rodrigues Alves;19767
AC;Santa Rosa do Purus;6893
AC;Senador Guiomard;23446
AC;Sena Madureira;47168
AC;Tarauacá;43730
AC;Xapuri;19866
AC;Porto Acre;19141
AM;Alvarães;16396
AM;Amaturá;11934
AM;Anamã;14292
AM;Anori;21937
AM;Apuí;22739
AM;Atalaia do Norte;20868
AM;Autazes;41005
AM;Barcelos;27772
AM;Barreirinha;32919
AM;Benjamin Constant;44873
AM;Beruri;20503
AM;Boa Vista do Ramos;20040
AM;Boca do Acre;34958
AM;Borba;42328
AM;Caapiranga;13482
AM;Canutama;15981
AM;Carauari;28719
AM;Careiro;38820
AM;Careiro da Várzea;31459
AM;Coari;86713
AM;Codajás;29691
AM;Eirunepé;36121
AM;Envira;20748
AM;Fonte Boa;16409
AM;Guajará;17193
AM;Humaitá;57195
AM;Ipixuna;31172
AM;Iranduba;49718
AM;Itacoatiara;104046
AM;Itamarati;7777
AM;Itapiranga;9312
AM;Japurá;1755
AM;Juruá;15495
AM;Jutaí;13462
AM;Lábrea;47685
AM;Manacapuru;99613
AM;Manaquiri;33981
AM;Manaus;2255903
AM;Manicoré;57405
AM;Maraã;18298
AM;Maués;66159
AM;Nhamundá;21710
AM;Nova Olinda do Norte;38665
AM;Novo Airão;20395
AM;Novo Aripuanã;26443
AM;Parintins;116439
AM;Pauini;19616
AM;Presidente Figueiredo;38095
AM;Rio Preto da Eva;34856
AM;Santa Isabel do Rio Negro;26566
AM;Santo Antônio do Içá;20889
AM;São Gabriel da Cachoeira;47031
AM;São Paulo de Olivença;40837
AM;São Sebastião do Uatumã;14678
AM;Silves;9289
AM;Tabatinga;68502
AM;Tapauá;16876
AM;Tefé;59250
AM;Tonantins;19038
AM;Uarini;13839
AM;Urucará;16007
AM;Urucurituba;24098
RR;Amajari;13561
RR;Alto Alegre;15249
RR;Boa Vista;436591
RR;Bonfim;12701
RR;Cantá;19257
RR;Caracaraí;22635
RR;Caroebe;10595
RR;Iracema;12637
RR;Mucajaí;18482
RR;Normandia;11772
RR;Pacaraima;20108
RR;Rorainópolis;31387
RR;São João da Baliza;8492
RR;São Luiz;8232
RR;Uiramutã;11014
PA;Abaetetuba;160439
