index;uf;cidade;populacao_estimada;uf_name
0;RO;Alta Floresta D'Oeste;22516;Rondônia
1;RO;Ariquemes;111148;Rondônia
2;RO;Cabixi;5067;Rondônia
3;RO;Cacoal;86416;Rondônia
4;RO;Cerejeiras;16088;Rondônia
5;RO;Colorado do Oeste;15213;Rondônia
6;RO;Corumbiara;7052;Rondônia
7;RO;Costa Marques;19255;Rondônia
8;RO;Espigão D'Oeste;33009;Rondônia
9;RO;Guajará-Mirim;46930;Rondônia
10;RO;Jaru;51469;Rondônia
11;RO;Ji-Paraná;131026;Rondônia
12;RO;Machadinho D'Oeste;41724;Rondônia
13;RO;Nova Brasilândia D'Oeste;20504;Rondônia
14;RO;Ouro Preto do Oeste;35445;Rondônia
15;RO;Pimenta Bueno;37098;Rondônia
16;RO;Porto Velho;548952;Rondônia
17;RO;Presidente Médici;18165;Rondônia
18;RO;Rio Crespo;3843;Rondônia
19;RO;Rolim de Moura;55748;Rondônia
20;RO;Santa Luzia D'Oeste;5942;Rondônia
21;RO;Vilhena;104517;Rondônia
22;RO;São Miguel do Guaporé;23147;Rondônia
23;RO;Nova Mamoré;32184;Rondônia
24;RO;Alvorada D'Oeste;13807;Rondônia
25;RO;Alto Alegre dos Parecis;13268;Rondônia
26;RO;Alto Paraíso;22258;Rondônia
27;RO;Buritis;41043;Rondônia
28;RO;Novo Horizonte do Oeste;8125;Rondônia
29;RO;Cacaulândia;6307;Rondônia
30;RO;Campo Novo de Rondônia;14391;Rondônia
31;RO;Candeias do Jamari;28068;Rondônia
32;RO;Castanheiras;2923;Rondônia
33;RO;Chupinguaia;11755;Rondônia
34;RO;Cujubim;27131;Rondônia
35;RO;Governador Jorge Teixeira;7130;Rondônia
36;RO;Itapuã do Oeste;10819;Rondônia
37;RO;Ministro Andreazza;9461;Rondônia
38;RO;Mirante da Serra;10691;Rondônia
39;RO;Monte Negro;16158;Rondônia
40;RO;Nova União;6822;Rondônia
41;RO;Parecis;6319;Rondônia
42;RO;Pimenteiras do Oeste;2127;Rondônia
43;RO;Primavera de Rondônia;2697;Rondônia
44;RO;São Felipe D'Oeste;4962;Rondônia
45;RO;São Francisco do Guaporé;21088;Rondônia
46;RO;Seringueiras;11846;Rondônia
47;RO;Teixeirópolis;4160;Rondônia
48;RO;Theobroma;10348;Rondônia
49;RO;Urupá;11081;Rondônia
50;RO;Vale do Anari;11545;Rondônia
51;RO;Vale do Paraíso;6490;Rondônia
52;AC;Acrelândia;15721;Acre
53;AC;Assis Brasil;7649;Acre
54;AC;Brasiléia;27123;Acre
55;AC;Bujari;10572;Acre
56;AC;Capixaba;12280;Acre
57;AC;Cruzeiro do Sul;89760;Acre
58;AC;Epitaciolândia;18979;Acre
59;AC;Feijó;34986;Acre
60;AC;Jordão;8628;Acre
61;AC;Mâncio Lima;19643;Acre
62;AC;Manoel Urbano;9701;Acre
63;AC;Marechal Thaumaturgo;19727;Acre
64;AC;Plácido de Castro;20147;Acre
65;AC;Porto Walter;12497;Acre
66;AC;Rio Branco;419452;Acre
67;AC;Rodrigues Alves;19767;Acre
68;AC;Santa Rosa do Purus;6893;Acre
69;AC;Senador Guiomard;23446;Acre
70;AC;Sena Madureira;47168;Acre
71;AC;Tarauacá;43730;Acre
72;AC;Xapuri;19866;Acre
73;AC;Porto Acre;19141;Acre
74;AM;Alvarães;16396;Amazonas
