Tipo,VideoID,Project,Origem,Tema,Título YouTube/Ideia,Descrição,Publicação,Duração,YouTube ID,Status,arXiv/SSRN,Journal,Research Gate,YouTube,TikTok,LinkedIn,Newsletter LinkedIn,Substack,GitHub Project,Oz.io,Oz Site,Curso,arXiv/SSRN (link),Journal (link),Research Gate (link),YouTube (link),TikTok (link),LinkedIn (link),Newsletter LinkedIn (link),Substack (link),GitHub Project.1,Oz.io (link),Oz Site (link),Curso (link)
Short,001,mathematics,youtube,algebra,001_math_algebra_equacao_diofantina_sem_solucao,Equação diofantina sem solução: uma demonstração formal,2026-08-01,00:01:59,QzFgALxe2N8,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=QzFgALxe2N8,-------,-------,-------,-------,-------,-------,-------,-------
Short,002,mathematics,youtube,geometry,002_math_geometry_secoes_conicas,Seções Cônicas,2026-07-29,00:01:59,zvC9Bpsa-2s,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=zvC9Bpsa-2s,-------,-------,-------,-------,-------,-------,-------,-------
Short,003,mathematics,youtube,combinatorics,003_stats_probability_combinatorics,Can You Solve This Probability Puzzle? | Combinatorics Challenge,2026-07-18,00:01:59,ZZHex64CWnU,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=ZZHex64CWnU,-------,-------,-------,-------,-------,-------,-------,-------
Short,004,physics,youtube,quantum physics,004_phys_quantum_mech_klein_gordon_equation,"Handwritten notes on the Klein–Gordon equation,",2026-07-15,00:01:59,Y3y8SKBVphI,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=Y3y8SKBVphI,-------,-------,-------,-------,-------,-------,-------,-------
Short,005,physics,youtube,classical physics,005_phys_class_mech_hydrostatics_five_spheres,Hidrostática: Como Ordenar as Densidades de Cinco Esferas?,2026-07-14,00:01:59,mNLSu9W8MZA,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=mNLSu9W8MZA,-------,-------,-------,-------,-------,-------,-------,-------
Short,006,mathematics,youtube,number theory,006_math_number_theory_types_of_numbers_animation,Types of numbers from analytic number theory with python animation,2026-07-13,00:02:15,63HE6owk0XQ,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=63HE6owk0XQ,-------,-------,-------,-------,-------,-------,-------,-------
Short,007,physics,youtube,classical physics,007_phys_class_mech_statics_problema_polias_engana_quase_todo_mundo,O problema de polias que engana quase todo mundo,2026-07-09,00:02:33,GvLIOXMsUlA,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=GvLIOXMsUlA,-------,-------,-------,-------,-------,-------,-------,-------
Short,008,mathematics,youtube,number theory,008_math_algebra_quando_meme_entrega_prova_mat,Quando um Meme Entrega uma Prova Matemática,2026-07-05,00:02:33,ymQxXvnGH-M,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=ymQxXvnGH-M,-------,-------,-------,-------,-------,-------,-------,-------
Short,009,mathematics,youtube,analysis,009_limite_sinx_sina,Finding the limit of [sin(x) - sin(a)] / (x - a) as x tends to a,2025-10-13,00:00:17,vk3Ew9gxj4k,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=vk3Ew9gxj4k,-------,-------,-------,-------,-------,-------,-------,-------
Short,010,mathematics,youtube,analysis,010_derivada_sinx_using_limit,derivative of sin(x) using limit definition,2025-10-13,00:00:18,uOWYMCiI_fA,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=uOWYMCiI_fA,-------,-------,-------,-------,-------,-------,-------,-------
Short,011,mathematics,youtube,analysis,011_derivada_x_a_n,derivative of x^n using limit definition,2025-10-13,00:00:27,YifLDTrwCa8,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=YifLDTrwCa8,-------,-------,-------,-------,-------,-------,-------,-------
Short,012,mathematics,youtube,analysis,012_x_plus_y_squared_xy,solving equation (x + y)^2 = (x + 1)(y - 1),2025-10-13,00:00:22,Y5GyN7rkBw0,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=Y5GyN7rkBw0,-------,-------,-------,-------,-------,-------,-------,-------
Short,013,mathematics,youtube,analysis,013_equation_xy_xz_yz,solving a system of equations xy = a; yz = b; xz = c; x + y + z = ...,2025-10-12,00:00:19,R6VnAXdwiH8,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=R6VnAXdwiH8,-------,-------,-------,-------,-------,-------,-------,-------
Short,014,mathematics,youtube,analysis,014_derivada_sinx,Dedução de expressão derivada de sen(x) pela definição de limite,2025-08-03,00:00:18,c4GlnXAY9eE,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=c4GlnXAY9eE,-------,-------,-------,-------,-------,-------,-------,-------
Short,015,mathematics,youtube,analysis,015_derivada_cosx,derivada de cos(x) pela definição por limite,2025-08-01,00:00:22,7-Lxh-yTNl0,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=7-Lxh-yTNl0,-------,-------,-------,-------,-------,-------,-------,-------
Short,016,mathematics,youtube,analysis,016_derivada_cosx,derivada de cos(x) pela definição por limite,2025-08-01,00:00:27,t1ry23INzLk,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=t1ry23INzLk,-------,-------,-------,-------,-------,-------,-------,-------
